"方向","代碼","名稱","訂單價格","訂單數量","訂單金額","交易狀態","已成交@均價","下單時間","類型","期限","盤前競價","時段","觸發價","允許開倉","市場","幣種","訂單來源","成交數量","成交價格","成交金額","成交時間","市場","幣種","對手經紀","備註","佣金","平台使用費","交收費","印花稅","交易費","證監會徵費","財匯局徵費","綜合審計跟蹤監管費","交易活動費","證監會規費","合計費用"
"買入","NBIS","NEBIUS","266.13","2","532.26","全部成交","2@266.13","2026/06/30 09:35:41 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","266.13","532.26","2026/06/30 09:35:42 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","RKLB","Rocket Lab","98.60","2","197.20","全部成交","2@98.80","2026/06/30 06:51:31 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","98.80","不允許","美股","USD","","2","98.80","197.60","2026/06/30 08:28:54 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","RKLB","Rocket Lab","101.45","2","202.90","全部成交","2@101.2931","2026/06/30 06:50:36 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","101.2931","202.59","2026/06/30 06:50:37 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","GSAT","全球星","76.60","2","153.20","已撤單","0@0.00","2026/06/30 06:25:54 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","77.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","GSAT","全球星","81.21","2","162.42","全部成交","2@81.21","2026/06/30 06:24:15 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","81.21","162.42","2026/06/30 06:24:16 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","07709","南方兩倍做多海力士","市價","100","14,450.00","全部成交","100@144.50","2026/06/30 09:52:00 (香港)","止損市價單","撤單前有效","","","144.50","","港股","HKD","","100","144.50","14,450.00","2026/06/30 10:14:09 (香港)","港股","HKD","8730","","0","15","0.61","0","0.82","0.39","0.02","","","","16.84"
"買入","07709","南方兩倍做多海力士","145.15","100","14,515.00","全部成交","100@145.15","2026/06/30 09:51:33 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","145.15","14,515.00","2026/06/30 09:51:33 (香港)","港股","HKD","8440","","0","15","0.61","0","0.82","0.39","0.02","","","","16.84"
"賣出","GLW","康寧","237.00","4","948.00","全部成交","4@238.00","2026/06/29 19:29:35 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","238.00","不允許","美股","USD","","4","238.00","952.00","2026/07/01 09:14:30 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.02","2.03"
"賣出","AMZN","亞馬遜","241.00","2","482.00","全部成交","2@241.9909","2026/06/29 11:11:51 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","242.00","不允許","美股","USD","","2","241.9909","483.98","2026/06/29 11:37:33 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","AMZN","亞馬遜","243.61","2","487.22","全部成交","2@243.61","2026/06/29 11:11:24 (美東)","限價單","撤單前有效","","盤前+盤中+盤後","","","美股","USD","","2","243.61","487.22","2026/06/29 11:11:25 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","GLW","康寧","228.80","8","1,830.40","全部成交","8@229.07","2026/06/29 10:52:15 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","229.00","不允許","美股","USD","","8","229.07","1,832.56","2026/06/29 10:52:22 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.04","2.06"
"賣出","GLW","康寧","228.80","8","1,830.40","已撤單","0@0.00","2026/06/29 10:51:42 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","229.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","QCOM","高通","191.50","2","383.00","已撤單","0@0.00","2026/06/29 09:52:36 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","191.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
