"方向","代碼","名稱","訂單價格","訂單數量","訂單金額","交易狀態","已成交@均價","下單時間","類型","期限","盤前競價","時段","觸發價","允許開倉","市場","幣種","訂單來源","成交數量","成交價格","成交金額","成交時間","市場","幣種","對手經紀","備註","佣金","平台使用費","交收費","印花稅","交易費","證監會徵費","財匯局徵費","綜合審計跟蹤監管費","交易活動費","證監會規費","合計費用"
"","","","","","","","","","","","","","","","","","","1","1938.00","1,938.00","2026/06/24 09:41:40 (美東)","美股","USD","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","1","1938.00","1,938.00","2026/06/24 09:41:40 (美東)","美股","USD","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","1","1938.00","1,938.00","2026/06/24 09:41:40 (美東)","美股","USD","","","","","","","","","","","","",""
"買入","SNDK","閃迪","2002.98","2","4,005.96","全部成交","2@2001.32","2026/06/23 09:57:05 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","2001.32","4,002.64","2026/06/23 09:57:05 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","DRAM","Roundhill Memory ETF","71.19","2","142.38","全部成交","2@71.14","2026/06/23 09:55:33 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","71.14","142.28","2026/06/23 09:55:33 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","ALAB","Astera Labs","393.00","2","786.00","全部成交","2@394.02","2026/06/23 09:54:31 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","394.00","不允許","美股","USD","","2","394.02","788.04","2026/06/23 14:47:02 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.02","2.03"
"買入","ALAB","Astera Labs","414.00","2","828.00","全部成交","2@413.585","2026/06/23 09:54:01 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","413.585","827.17","2026/06/23 09:54:02 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","MRVL","邁威爾科技","284.02","1","284.02","全部成交","1@284.02","2026/06/23 09:51:48 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","1","284.02","284.02","2026/06/23 09:51:49 (美東)","美股","USD","","","0.99","1","0","","","","","0","","","1.99"
"賣出","AVGO","博通","374.00","4","1,496.00","全部成交","4@375.1551","2026/06/23 09:51:26 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","375.00","不允許","美股","USD","","4","375.1551","1,500.62","2026/06/25 09:49:04 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.03","2.04"
"買入","AVGO","博通","385.97","2","771.94","全部成交","2@385.97","2026/06/23 09:50:32 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","385.97","771.94","2026/06/23 09:50:33 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","INTC","英特爾","126.00","2","252.00","全部成交","2@126.8601","2026/06/23 09:48:27 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","127.00","不允許","美股","USD","","2","126.8601","253.72","2026/06/25 09:58:08 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","INTC","英特爾","133.88","2","267.76","全部成交","2@133.88","2026/06/23 09:47:43 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","133.88","267.76","2026/06/23 09:48:04 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MU","美光科技","1052.00","2","2,104.00","全部成交","2@1052.6101","2026/06/23 09:45:32 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1053.00","不允許","美股","USD","","2","1052.6101","2,105.22","2026/06/23 14:40:15 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.04","2.05"
"買入","MU","美光科技","1071.78","2","2,143.56","全部成交","2@1071.1299","2026/06/23 09:44:20 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1071.1299","2,142.26","2026/06/23 09:44:21 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","LUMN","Lumen Technologies","7.50","2","15.00","全部成交","2@7.5902","2026/06/23 09:43:18 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","7.60","不允許","美股","USD","","2","7.5902","15.18","2026/06/24 09:43:13 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","LUMN","Lumen Technologies","8.04","2","16.08","全部成交","2@8.0298","2026/06/23 09:42:29 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","8.0298","16.06","2026/06/23 09:42:29 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","APH","安費諾","156.00","2","312.00","全部成交","2@156.41","2026/06/23 09:41:32 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","157.00","不允許","美股","USD","","2","156.41","312.82","2026/06/24 09:30:04 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","APH","安費諾","160.37","2","320.74","全部成交","2@160.37","2026/06/23 09:41:08 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","160.37","320.74","2026/06/23 09:41:09 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MRVL","邁威爾科技","274.00","3","822.00","全部成交","3@274.74","2026/06/23 09:40:50 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","275.00","不允許","美股","USD","","3","274.74","824.22","2026/06/24 09:38:02 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.02","2.03"
"買入","MRVL","邁威爾科技","284.74","2","569.48","全部成交","2@284.74","2026/06/23 09:40:10 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","284.74","569.48","2026/06/23 09:40:20 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","DRAM","Roundhill Memory ETF","67.00","20","1,340.00","全部成交","20@68.00","2026/06/23 04:22:07 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","68.00","不允許","美股","USD","","20","68.00","1,360.00","2026/06/24 13:24:21 (美東)","美股","USD","","","0.99","1","0.06","","","","","0","0.01","0.03","2.09"
"賣出","SNDK","閃迪","2052.00","1","2,052.00","全部成交","1@2052.00","2026/06/23 04:20:57 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","1","2052.00","2,052.00","2026/06/23 04:20:57 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.01","0.04","2.04"
"賣出","07709","南方兩倍做多海力士","市價","100","15,400.00","全部成交","100@154.00","2026/06/23 11:36:13 (香港)","止損市價單","撤單前有效","","","154.00","","港股","HKD","","100","154.00","15,400.00","2026/06/23 13:00:17 (香港)","港股","HKD","9054","","0","15","0.65","0","0.87","0.42","0.02","","","","16.96"
"買入","07709","南方兩倍做多海力士","157.20","100","15,720.00","全部成交","100@157.10","2026/06/23 11:35:42 (香港)","限價單","當日有效","不允許","","","","港股","HKD","","100","157.10","15,710.00","2026/06/23 11:35:42 (香港)","港股","HKD","6389","","0","15","0.66","0","0.89","0.42","0.02","","","","16.99"
"買入","MU","美光科技","市價","2","2,380.49","全部成交","2@1190.245","2026/06/22 10:17:16 (美東)","市價單","當日有效","","盤中","","","美股","USD","","2","1190.245","2,380.49","2026/06/22 10:17:16 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","ALAB","Astera Labs","市價","4","1,721.96","全部成交","4@430.49","2026/06/22 10:14:41 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","430.49","1,721.96","2026/06/22 10:14:42 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","ALAB","Astera Labs","424.00","8","3,392.00","全部成交","8@424.62","2026/06/22 10:11:41 (美東)","止損限價單","撤單前有效","","盤中","425.00","不允許","美股","USD","","8","424.62","3,396.96","2026/06/22 11:31:25 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.07","2.09"
"賣出","MU","美光科技","1184.00","4","4,736.00","全部成交","4@1184.49","2026/06/22 10:08:25 (美東)","止損限價單","撤單前有效","","盤中","1185.00","不允許","美股","USD","","4","1184.49","4,737.96","2026/06/22 10:27:16 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.1","2.11"
"買入","MU","美光科技","市價","2","2,385.10","全部成交","2@1192.55","2026/06/22 10:08:05 (美東)","市價單","當日有效","","盤中","","","美股","USD","","2","1192.55","2,385.10","2026/06/22 10:08:06 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","DRAM","Roundhill Memory ETF","77.50","8","620.00","已撤單","0@0.00","2026/06/22 10:05:18 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","78.50","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","DRAM","Roundhill Memory ETF","市價","4","322.28","全部成交","4@80.57","2026/06/22 10:04:52 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","80.57","322.28","2026/06/22 10:04:52 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","DRAM","Roundhill Memory ETF","市價","4","321.87","全部成交","4@80.4665","2026/06/22 10:02:02 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","80.4665","321.87","2026/06/22 10:02:02 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","CRDO","Credo Technology","297.00","2","594.00","全部成交","2@298.26","2026/06/22 09:48:44 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","298.00","不允許","美股","USD","","2","298.26","596.52","2026/06/22 09:59:52 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","CRDO","Credo Technology","市價","2","616.08","全部成交","2@308.0399","2026/06/22 09:48:18 (美東)","市價單","當日有效","","盤中","","","美股","USD","","2","308.0399","616.08","2026/06/22 09:48:18 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","ALAB","Astera Labs","424.00","4","1,696.00","已撤單","0@0.00","2026/06/22 09:46:48 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","425.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","ALAB","Astera Labs","市價","4","1,756.16","全部成交","4@439.04","2026/06/22 09:45:42 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","439.04","1,756.16","2026/06/22 09:45:42 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MU","美光科技","1124.00","1","1,124.00","全部成交","1@1125.31","2026/06/18 11:06:06 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1125.00","不允許","美股","USD","","1","1125.31","1,125.31","2026/06/18 11:42:21 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.01","0.02","2.02"
"賣出","SNDK","閃迪","2164.00","1","2,164.00","全部成交","1@2165.23","2026/06/18 10:58:31 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","2165.00","不允許","美股","USD","","1","2165.23","2,165.23","2026/06/18 11:29:39 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.01","0.04","2.04"
"賣出","SNDK","閃迪","2162.00","2","4,324.00","全部成交","2@2164.00","2026/06/18 10:56:44 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","2163.00","不允許","美股","USD","","2","2164.00","4,328.00","2026/06/18 10:58:07 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.09","2.1"
"買入","GLW","康寧","182.37","2","364.74","全部成交","2@182.37","2026/06/18 10:00:37 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","182.37","364.74","2026/06/18 10:00:37 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MU","美光科技","1127.00","1","1,127.00","全部成交","1@1128.45","2026/06/18 09:53:15 (美東)","止損限價單","撤單前有效","","盤中","1128.00","不允許","美股","USD","","1","1128.45","1,128.45","2026/06/18 11:14:56 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.01","0.02","2.02"
"買入","MU","美光科技","市價","2","2,227.19","全部成交","2@1113.5939","2026/06/18 09:52:04 (美東)","市價單","當日有效","","盤中","","","美股","USD","","2","1113.5939","2,227.19","2026/06/18 09:52:05 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","SPCX","SpaceX","市價","5","909.14","全部成交","5@181.8276","2026/06/18 09:50:38 (美東)","市價單","當日有效","","盤中","","","美股","USD","","5","181.8276","909.14","2026/06/18 09:50:38 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","SNDK","閃迪","2152.00","1","2,152.00","已撤單","0@0.00","2026/06/18 09:46:46 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","2153.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","SNDK","閃迪","市價","4","8,474.84","全部成交","4@2118.70983","2026/06/18 09:45:27 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","2118.70983","8,474.84","2026/06/18 09:45:27 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","GLW","康寧","248.00","7","1,736.00","全部成交","7@248.73","2026/06/18 09:42:59 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","249.00","不允許","美股","USD","","7","248.73","1,741.11","2026/06/30 09:22:12 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.04","2.06"
"買入","GLW","康寧","186.97","5","934.85","全部成交","5@186.97","2026/06/18 09:41:11 (美東)","限價單","當日有效","","盤中","","","美股","USD","","5","186.97","934.85","2026/06/18 09:41:35 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","07709","南方兩倍做多海力士","市價","200","32,390.00","全部成交","200@161.95","2026/06/18 10:48:05 (香港)","止損市價單","撤單前有效","","","162.00","","港股","HKD","","200","161.95","32,390.00","2026/06/18 13:14:13 (香港)","港股","HKD","8512","","0","15","1.36","0","1.83","0.87","0.05","","","","19.11"
"買入","07709","南方兩倍做多海力士","154.20","100","15,420.00","全部成交","100@154.15","2026/06/18 09:53:53 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","154.15","15,415.00","2026/06/18 09:53:54 (香港)","港股","HKD","6389","","0","15","0.65","0","0.87","0.42","0.02","","","","16.96"
"賣出","07709","南方兩倍做多海力士","市價","100","16,275.00","全部成交","100@162.75","2026/06/18 09:53:19 (香港)","止損市價單","撤單前有效","","","162.80","","港股","HKD","","100","162.75","16,275.00","2026/06/18 13:28:23 (香港)","港股","HKD","8475","","0","15","0.68","0","0.92","0.44","0.02","","","","17.06"
"買入","07709","南方兩倍做多海力士","市價","200","30,800.00","全部成交","200@154.00","2026/06/18 09:52:10 (香港)","止損市價單","當日有效","","","154.00","","港股","HKD","","200","154.00","30,800.00","2026/06/18 09:53:28 (香港)","港股","HKD","8469","","0","15","1.29","0","1.74","0.83","0.05","","","","18.91"
"買入","SPCX","SpaceX","市價","5","987.53","全部成交","5@197.5062","2026/06/17 12:26:05 (美東)","市價單","當日有效","","盤中","","","美股","USD","","5","197.5062","987.53","2026/06/17 12:26:06 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","STX","希捷科技","1071.00","2","2,142.00","全部成交","2@1073.395","2026/06/17 11:07:02 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1073.00","不允許","美股","USD","","2","1073.395","2,146.79","2026/06/18 11:55:06 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.04","2.05"
"買入","STX","希捷科技","1081.00","2","2,162.00","全部成交","2@1079.28","2026/06/17 11:04:08 (美東)","限價單","撤單前有效","","盤前+盤中+盤後","","","美股","USD","","2","1079.28","2,158.56","2026/06/17 11:05:04 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","STX","希捷科技","1054.00","4","4,216.00","全部成交","4@1054.4275","2026/06/17 10:25:46 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1055.00","不允許","美股","USD","","3","1054.42","3,163.26","2026/06/17 10:47:31 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.02","0.09","2.11"
"","","","","","","","","","","","","","","","","","","1","1054.45","1,054.45","2026/06/17 10:47:31 (美東)","美股","USD","","","","","","","","","","","","",""
"買入","STX","希捷科技","1084.60","2","2,169.20","全部成交","2@1084.60","2026/06/17 10:24:37 (美東)","限價單","當日有效","","盤中","","","美股","USD","","2","1084.60","2,169.20","2026/06/17 10:24:38 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","STX","希捷科技","1085.00","2","2,170.00","全部成交","2@1085.00","2026/06/17 10:24:25 (美東)","限價單","當日有效","","盤中","","","美股","USD","","2","1085.00","2,170.00","2026/06/17 10:25:05 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","WDC","西部數據","738.00","3","2,214.00","全部成交","3@738.965","2026/06/17 10:18:56 (美東)","觸及限價單(止盈)","撤單前有效","","盤前+盤中+盤後","739.00","不允許","美股","USD","","3","738.965","2,216.90","2026/06/17 14:43:52 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.05","2.06"
"賣出","SPCX","SpaceX","189.00","2","378.00","全部成交","2@190.87","2026/06/17 10:13:17 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","191.00","不允許","美股","USD","","2","190.87","381.74","2026/06/17 10:47:50 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","SPCX","SpaceX","196.46","2","392.92","全部成交","2@196.46","2026/06/17 10:12:46 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","196.46","392.92","2026/06/17 10:12:46 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","WDC","西部數據","706.00","2","1,412.00","全部成交","2@706.00","2026/06/17 09:41:10 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","706.00","1,412.00","2026/06/17 09:41:14 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","WDC","西部數據","764.00","3","2,292.00","全部成交","3@764.52","2026/06/17 09:37:55 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","765.00","不允許","美股","USD","","3","764.52","2,293.56","2026/06/18 11:50:23 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.05","2.06"
"買入","WDC","西部數據","722.06","2","1,444.12","全部成交","2@722.06","2026/06/17 09:36:27 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","722.06","1,444.12","2026/06/17 09:36:27 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","WDC","西部數據","市價","2","1,442.10","全部成交","2@721.05","2026/06/17 09:36:04 (美東)","市價單","當日有效","","盤中","","","美股","USD","","2","721.05","1,442.10","2026/06/17 09:36:05 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MU","美光科技","1056.26","2","2,112.52","全部成交","2@1056.26","2026/06/16 11:02:22 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1056.26","2,112.52","2026/06/16 11:02:22 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.04","2.05"
"賣出","WDC","西部數據","720.00","5","3,600.00","全部成交","5@721.162","2026/06/16 09:53:11 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","721.00","不允許","美股","USD","","5","721.162","3,605.81","2026/06/16 09:56:54 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.07","2.09"
"賣出","WDC","西部數據","737.00","5","3,685.00","已撤單","0@0.00","2026/06/16 09:46:33 (美東)","觸及限價單(止盈)","撤單前有效","","盤前+盤中+盤後","739.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","WDC","西部數據","724.00","5","3,620.00","全部成交","5@724.3101","2026/06/16 09:37:28 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","725.00","不允許","美股","USD","","5","724.3101","3,621.55","2026/06/16 09:51:18 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.07","2.09"
"買入","WDC","西部數據","711.87","10","7,118.70","全部成交","10@711.87","2026/06/16 09:36:19 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","10","711.87","7,118.70","2026/06/16 09:36:19 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","","","2.02"
"賣出","SPCX","SpaceX","194.00","4","776.00","已撤單","0@0.00","2026/06/16 09:17:02 (美東)","止損限價單","當日有效","","盤前+盤中+盤後","195.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","SPCX","SpaceX","175.00","18","3,150.00","全部成交","18@175.69","2026/06/16 07:49:37 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","176.00","不允許","美股","USD","","18","175.69","3,162.42","2026/06/18 11:31:23 (美東)","美股","USD","","","0.99","1","0.05","","","","","0","0.01","0.07","2.12"
"賣出","SPCX","SpaceX","169.80","5","849.00","下單失敗","0@0.00","2026/06/16 07:49:04 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","171.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","SPCX","SpaceX","205.00","2","410.00","全部成交","2@207.00","2026/06/16 06:22:40 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","207.00","不允許","美股","USD","","2","207.00","414.00","2026/06/16 07:25:10 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"賣出","WDC","西部數據","708.00","2","1,416.00","全部成交","2@708.87","2026/06/16 06:21:10 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","709.00","不允許","美股","USD","","2","708.87","1,417.74","2026/06/16 07:22:04 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.03","2.04"
"賣出","MU","美光科技","1117.51","3","3,352.53","全部成交","3@1117.51","2026/06/16 05:20:02 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1117.51","2,235.02","2026/06/16 05:20:10 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.02","0.07","2.09"
"","","","","","","","","","","","","","","","","","","1","1117.51","1,117.51","2026/06/16 05:20:03 (美東)","美股","USD","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","觸及市價","100","0.00","已撤單","0@0.00","2026/06/16 13:29:06 (香港)","止損市價單","撤單前有效","","","123.00","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","觸及市價","100","0.00","已撤單","0@0.00","2026/06/16 09:48:28 (香港)","止損市價單","當日有效","","","123.00","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","129.75","100","12,975.00","全部成交","100@129.75","2026/06/16 09:47:00 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","129.75","12,975.00","2026/06/16 11:44:23 (香港)","港股","HKD","4480","","0","15","0.54","0","0.73","0.35","0.02","","","","16.64"
"買入","07709","南方兩倍做多海力士","126.45","100","12,645.00","全部成交","100@126.45","2026/06/16 09:39:05 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","126.45","12,645.00","2026/06/16 09:39:06 (香港)","港股","HKD","2453","","0","15","0.53","0","0.71","0.34","0.02","","","","16.6"
"賣出","SPCX","SpaceX","228.02","5","1,140.10","已撤單","0@0.00","2026/06/15 21:22:23 (美東)","限價單","當日有效","","全時段","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","MU","美光科技","1116.00","5","5,580.00","全部成交","5@1117.0197","2026/06/15 19:34:50 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1117.00","不允許","美股","USD","","5","1117.0197","5,585.10","2026/06/16 08:15:20 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.12","2.14"
"賣出","DRAM","Roundhill Memory ETF","69.80","8","558.40","全部成交","8@70.83","2026/06/15 09:51:56 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","70.80","不允許","美股","USD","","8","70.83","566.64","2026/06/16 10:22:09 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.01","2.03"
"買入","DRAM","Roundhill Memory ETF","市價","8","558.32","全部成交","8@69.7899","2026/06/15 09:51:09 (美東)","市價單","當日有效","","盤中","","","美股","USD","","8","69.7899","558.32","2026/06/15 09:51:09 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","WDC","西部數據","693.00","2","1,386.00","全部成交","2@693.30","2026/06/15 09:32:20 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","694.00","不允許","美股","USD","","2","693.30","1,386.60","2026/06/16 08:32:43 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.03","2.04"
"買入","WDC","西部數據","市價","4","2,516.64","全部成交","4@629.16","2026/06/15 09:31:15 (美東)","市價單","當日有效","","盤中","","","美股","USD","","4","629.16","2,516.64","2026/06/15 09:31:16 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","MU","美光科技","1047.00","5","5,235.00","已撤單","0@0.00","2026/06/15 06:15:17 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1048.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","MU","美光科技","1058.00","10","10,580.00","全部成交","10@1057.50","2026/06/15 06:14:23 (美東)","限價單","撤單前有效","","盤前+盤中+盤後","","","美股","USD","","10","1057.50","10,575.00","2026/06/15 06:14:23 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","","","2.02"
"買入","MU","美光科技","1056.00","10","10,560.00","已撤單","0@0.00","2026/06/15 06:12:52 (美東)","限價單","撤單前有效","","盤前+盤中+盤後","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","市價","100","12,780.00","全部成交","100@127.80","2026/06/15 16:01:37 (香港)","止損市價單","撤單前有效","","","127.80","","港股","HKD","","100","127.80","12,780.00","2026/06/16 13:34:45 (香港)","港股","HKD","9033","","0","15","0.54","0","0.72","0.35","0.02","","","","16.63"
"賣出","07709","南方兩倍做多海力士","觸及市價","100","0.00","已撤單","0@0.00","2026/06/15 16:00:36 (香港)","觸及市價單(止盈)","撤單前有效","","","192.00","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","市價","100","14,190.00","全部成交","100@141.90","2026/06/15 16:00:08 (香港)","觸及市價單(止盈)","撤單前有效","","","142.00","","港股","HKD","","100","141.90","14,190.00","2026/06/17 13:37:32 (香港)","港股","HKD","2578","","0","15","0.6","0","0.8","0.38","0.02","","","","16.8"
"買入","07709","南方兩倍做多海力士","市價","200","24,220.00","全部成交","200@121.10","2026/06/15 15:59:10 (香港)","市價單","當日有效","不允許","","","","港股","HKD","","200","121.10","24,220.00","2026/06/15 15:59:10 (香港)","港股","HKD","2452","","0","15","1.02","0","1.37","0.65","0.04","","","","18.08"
"賣出","SPCX","SpaceX","197.80","10","1,978.00","全部成交","10@197.9309","2026/06/12 13:14:06 (美東)","觸及限價單(止盈)","撤單前有效","","盤前+盤中+盤後","198.00","不允許","美股","USD","","10","197.9309","1,979.31","2026/06/15 18:02:43 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","0.01","0.04","2.07"
"賣出","SPCX","SpaceX","196.00","5","980.00","下單失敗","0@0.00","2026/06/12 12:50:48 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","198.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
