交易
平仓时间 (UTC+8),交易品种,开仓方向,建仓价,平仓价格,平仓量,净盈利 HKD,余额 HKD
01 7 月 2026 08:52:45.246,JPN225,卖出,71772.7,71697.2,0.1 手,36.39,8 559.58
01 7 月 2026 08:52:43.418,JPN225,卖出,71775.2,71699.7,0.1 手,36.39,8 523.19
01 7 月 2026 08:52:42.525,JPN225,卖出,71775.2,71692.2,0.1 手,40.00,8 486.80
01 7 月 2026 08:51:33.197,JPN225,卖出,71805.2,71822.2,0.1 手,-8.19,8 446.80
01 7 月 2026 08:50:49.173,JPN225,买入,71852.2,71805.2,0.1 手,-22.65,8 454.99
01 7 月 2026 08:50:49.169,JPN225,买入,71842.2,71805.2,0.1 手,-17.83,8 477.64
01 7 月 2026 08:48:24.206,JPN225,卖出,71890.2,71812.2,0.2 手,75.18,8 495.47
01 7 月 2026 08:48:24.140,JPN225,卖出,71895.2,71812.2,0.2 手,80.00,8 420.29
01 7 月 2026 08:48:24.137,JPN225,卖出,71900.2,71812.2,0.2 手,84.82,8 340.29
01 7 月 2026 08:46:38.323,JPN225,买入,71949.7,71887.7,0.2 手,-59.77,8 255.47
01 7 月 2026 08:46:23.784,JPN225,买入,71944.7,71890.2,0.2 手,-52.54,8 315.24
01 7 月 2026 08:45:27.984,JPN225,买入,71949.7,71917.7,0.2 手,-30.85,8 367.78
01 7 月 2026 08:44:25.224,JPN225,买入,71887.2,71892.7,0.2 手,5.30,8 398.63
01 7 月 2026 08:44:25.109,JPN225,买入,71892.2,71892.7,0.2 手,0.48,8 393.33
01 7 月 2026 08:44:25.078,JPN225,买入,71882.2,71892.7,0.2 手,10.12,8 392.85
01 7 月 2026 08:44:25.028,JPN225,买入,71882.2,71895.2,0.2 手,12.53,8 382.73
01 7 月 2026 08:41:07.666,JPN225,买入,71832.2,71837.7,0.2 手,5.30,8 370.20
01 7 月 2026 08:41:02.734,JPN225,买入,71854.7,71867.7,0.2 手,12.53,8 364.90
01 7 月 2026 08:41:02.719,JPN225,买入,71822.2,71867.7,0.2 手,43.86,8 352.37
01 7 月 2026 08:41:02.707,JPN225,买入,71857.2,71867.7,0.2 手,10.12,8 308.51
30 6 月 2026 22:20:20.960,HK50,买入,22924.3,23021.1,1 手,96.80,8 298.39
30 6 月 2026 22:20:11.741,HK50,买入,22924.3,23023.3,1 手,99.00,8 201.59
30 6 月 2026 22:07:31.102,US500,买入,7477.3,7471.4,0.5 手,-23.13,8 102.59
30 6 月 2026 22:06:08.734,US500,买入,7476.3,7471.7,0.5 手,-18.04,8 125.72
30 6 月 2026 22:01:18.682,HK50,买入,22889.8,22891.1,5 手,6.50,8 143.76
30 6 月 2026 22:01:15.103,HK50,买入,22890.3,22894.3,5 手,20.00,8 137.26
30 6 月 2026 22:01:13.231,US500,买入,7453.1,7462.1,1 手,70.58,8 117.26
30 6 月 2026 21:55:38.273,US500,买入,7453.3,7467.9,1 手,114.50,8 046.68
30 6 月 2026 21:55:36.895,US500,买入,7454.1,7468.4,1 手,112.14,7 932.18
30 6 月 2026 21:37:34.936,HK50,卖出,22845.3,22866.3,1 手,-21.00,7 820.04
30 6 月 2026 21:37:34.692,HK50,卖出,22844.3,22866.1,1 手,-21.80,7 841.04
30 6 月 2026 09:35:28.952,JPN225,买入,69979.4,69994.9,0.1 手,7.50,7 862.84
30 6 月 2026 09:33:15.158,JPN225,买入,69979.4,70192.4,0.1 手,103.08,7 855.34
30 6 月 2026 09:33:09.359,JPN225,买入,69959.4,70212.4,0.1 手,122.42,7 752.26
29 6 月 2026 21:55:59.765,US500,买入,7411.7,7412.8,1 手,8.63,7 629.84
29 6 月 2026 21:46:15.675,US500,买入,7414.7,7428.6,3 手,327.01,7 621.21
29 6 月 2026 21:46:15.665,US500,买入,7411.7,7428.6,1 手,132.53,7 294.20
29 6 月 2026 21:46:02.215,HK50,买入,23068.5,23098.7,5 手,151.00,7 161.67
29 6 月 2026 21:45:17.241,HK50,买入,23068.2,23102.2,5 手,170.00,7 010.67
29 6 月 2026 21:41:06.315,HK50,买入,23086.7,23081.2,5 手,-27.50,6 840.67
29 6 月 2026 09:43:25.939,HK50,买入,22858.7,22852.7,0.1 手,-0.60,6 868.17
29 6 月 2026 09:43:25.758,HK50,买入,22856.2,22852.7,0.1 手,-0.35,6 868.77
29 6 月 2026 08:02:02.023,JPN225,卖出,69792.2,69281.7,0.2 手,494.94,6 869.12
29 6 月 2026 07:58:54.368,JPN225,卖出,69804.7,69729.2,1 手,365.92,6 374.18
29 6 月 2026 07:58:48.282,JPN225,卖出,69812.2,69751.7,2 手,586.43,6 008.26
26 6 月 2026 22:05:43.353,US500,买入,7339.7,7360.1,3 手,479.94,5 421.83
26 6 月 2026 22:05:43.215,US500,买入,7340.0,7360.1,3 手,472.88,4 941.89
26 6 月 2026 22:02:37.129,HK50,买入,22852.0,22854.4,10 手,24.00,4 469.01
24 6 月 2026 22:15:56.729,HK50,买入,23461.7,23419.9,10 手,-418.00,4 445.01
24 6 月 2026 21:55:27.576,HK50,买入,23417.9,23440.9,10 手,230.00,4 863.01
24 6 月 2026 21:55:25.501,US500,买入,7403.7,7405.3,3 手,37.63,4 633.01
24 6 月 2026 21:55:24.018,US500,买入,7403.7,7405.3,3 手,37.63,4 595.38
24 6 月 2026 09:54:15.498,HK50,买入,23530.2,23461.2,5 手,-345.00,4 557.75
24 6 月 2026 09:48:17.389,HK50,买入,23506.4,23462.4,5 手,-220.00,4 902.75
24 6 月 2026 09:48:17.336,HK50,买入,23496.4,23462.4,5 手,-170.00,5 122.75
24 6 月 2026 09:48:17.195,HK50,买入,23492.4,23462.9,5 手,-147.50,5 292.75
15 6 月 2026 22:15:21.744,HK50,卖出,24878.9,24897.9,1 手,-19.00,5 455.25
15 6 月 2026 22:15:21.744,HK50,卖出,24882.9,24897.9,1 手,-15.00,5 440.25
15 6 月 2026 22:15:21.719,HK50,卖出,24881.9,24897.9,10 手,-160.00,5 474.25
15 6 月 2026 22:14:58.153,US500,卖出,7543.9,7546.8,3 手,-68.16,5 634.25
15 6 月 2026 22:14:58.119,US500,卖出,7542.1,7546.8,3 手,-110.46,5 702.41
15 6 月 2026 22:14:31.242,US500,买入,7551.5,7543.9,3 手,-178.63,5 812.87
15 6 月 2026 22:14:26.023,US500,买入,7551.5,7542.1,3 手,-220.93,5 991.50
15 6 月 2026 22:14:11.832,HK50,买入,24920.4,24879.9,10 手,-405.00,6 212.43
15 6 月 2026 22:14:11.762,HK50,买入,24917.9,24879.9,10 手,-380.00,6 617.43
15 6 月 2026 22:13:20.163,HK50,买入,24911.7,24881.7,1 手,-30.00,6 997.43
15 6 月 2026 21:47:43.453,HK50,卖出,24896.7,24920.4,10 手,-237.00,7 027.43
15 6 月 2026 21:47:40.567,HK50,卖出,24896.9,24917.9,10 手,-210.00,7 264.43
15 6 月 2026 21:45:48.082,HK50,卖出,24902.4,24906.4,10 手,-40.00,7 474.43
15 6 月 2026 21:43:46.386,US500,买入,7550.5,7541.9,3 手,-202.13,7 514.43
15 6 月 2026 10:08:02.420,HK50,卖出,24950.4,24951.4,10 手,-10.00,7 716.56
15 6 月 2026 10:08:02.361,HK50,卖出,24958.2,24952.4,10 手,58.00,7 726.56
15 6 月 2026 10:08:02.341,HK50,卖出,24950.4,24952.4,10 手,-20.00,7 668.56
15 6 月 2026 10:00:15.188,HK50,买入,24960.4,24947.4,10 手,-130.00,7 688.56
15 6 月 2026 10:00:06.135,HK50,买入,24984.2,24950.4,10 手,-338.00,7 818.56
15 6 月 2026 10:00:03.262,HK50,卖出,24954.4,24960.4,10 手,-60.00,8 156.56
15 6 月 2026 10:00:01.429,HK50,买入,24986.4,24954.4,10 手,-320.00,8 216.56
15 6 月 2026 09:59:59.379,HK50,买入,24982.4,24958.2,10 手,-242.00,8 536.56
15 6 月 2026 09:56:00.368,HK50,卖出,24962.4,24986.4,10 手,-240.00,8 778.56
15 6 月 2026 09:55:59.033,HK50,卖出,24971.4,24984.2,10 手,-128.00,9 018.56
15 6 月 2026 09:55:55.217,HK50,卖出,24972.7,24982.4,10 手,-97.00,9 146.56
15 6 月 2026 09:45:21.059,HK50,买入,25000.4,25005.9,10 手,55.00,9 243.56
15 6 月 2026 09:45:20.578,HK50,买入,24996.4,25005.4,10 手,90.00,9 188.56
15 6 月 2026 09:45:06.898,HK50,买入,24998.4,25009.4,10 手,110.00,9 098.56
15 6 月 2026 09:37:40.833,HK50,买入,24991.4,24999.4,7 手,56.00,8 939.56
15 6 月 2026 09:37:40.833,HK50,买入,24992.4,24999.4,7 手,49.00,8 988.56
15 6 月 2026 09:37:38.712,HK50,买入,24992.4,25001.4,7 手,63.00,8 883.56
11 6 月 2026 22:11:00.327,HK50,买入,24201.1,24160.6,7 手,-283.50,8 820.56
11 6 月 2026 22:11:00.318,US500,买入,7306.9,7304.0,3 手,-68.18,9 104.06
11 6 月 2026 22:11:00.307,HK50,买入,24202.6,24160.6,7 手,-294.00,9 172.24
11 6 月 2026 22:11:00.301,HK50,买入,24204.9,24160.6,7 手,-310.10,9 466.24
11 6 月 2026 22:11:00.270,US500,买入,7304.6,7303.7,3 手,-21.16,9 776.34
11 6 月 2026 22:11:00.255,HK50,买入,24203.6,24160.6,7 手,-301.00,9 797.50
11 6 月 2026 22:11:00.253,HK50,买入,24206.1,24160.6,7 手,-318.50,10 098.50
11 6 月 2026 22:11:00.253,US500,买入,7310.6,7303.7,3 手,-162.22,10 417.00
11 6 月 2026 21:45:19.952,US500,卖出,7281.1,7299.4,3 手,-430.20,10 579.22
11 6 月 2026 21:45:19.950,US500,卖出,7281.1,7299.4,3 手,-430.20,11 009.42
11 6 月 2026 21:45:19.920,US500,卖出,7282.0,7299.4,3 手,-409.04,11 439.62
11 6 月 2026 21:45:19.894,US500,卖出,7281.0,7299.6,3 手,-437.25,11 848.66
11 6 月 2026 21:45:19.888,US500,卖出,7281.1,7299.6,3 手,-434.90,12 285.91
11 6 月 2026 21:45:19.862,US500,卖出,7281.5,7299.7,3 手,-427.84,12 720.81
11 6 月 2026 21:45:18.413,HK50,卖出,24164.6,24200.9,7 手,-254.10,13 148.65
11 6 月 2026 21:45:18.405,HK50,卖出,24164.9,24200.9,7 手,-252.00,13 402.75
11 6 月 2026 21:45:18.404,HK50,卖出,24164.9,24200.9,7 手,-252.00,13 654.75
11 6 月 2026 21:41:41.778,HK50,买入,24192.1,24167.6,7 手,-171.50,13 906.75
11 6 月 2026 21:41:41.518,HK50,买入,24193.1,24168.1,7 手,-175.00,14 078.25
11 6 月 2026 21:41:41.506,HK50,买入,24193.1,24168.1,7 手,-175.00,14 253.25
11 6 月 2026 21:40:25.975,US500,买入,7298.9,7282.2,3 手,-392.62,14 428.25
11 6 月 2026 21:40:18.949,US500,买入,7298.6,7282.7,3 手,-373.81,14 820.87
11 6 月 2026 21:40:18.911,US500,买入,7289.9,7282.7,3 手,-169.27,15 194.68
11 6 月 2026 21:40:18.905,US500,买入,7297.9,7282.7,3 手,-357.35,15 363.95
10 6 月 2026 22:14:52.696,US500,买入,7390.1,7383.5,0.1 手,-5.17,15 721.30
10 6 月 2026 22:14:51.601,US500,买入,7389.4,7383.9,0.1 手,-4.31,15 726.47
10 6 月 2026 22:14:41.601,HK50,买入,24484.1,24484.8,0.2 手,0.14,15 730.78
10 6 月 2026 22:14:30.796,HK50,买入,24483.8,24489.1,0.2 手,1.06,15 730.64
10 6 月 2026 22:05:58.652,HK50,买入,24476.6,24464.6,0.2 手,-2.40,15 729.58
10 6 月 2026 22:05:58.645,HK50,买入,24474.8,24464.6,0.2 手,-2.04,15 731.98
10 6 月 2026 22:05:58.601,US500,买入,7384.4,7377.9,0.1 手,-5.09,15 734.02
10 6 月 2026 22:05:58.591,US500,买入,7384.4,7377.9,0.1 手,-5.09,15 739.11
10 6 月 2026 21:52:11.095,US500,卖出,7374.5,7369.6,0.5 手,19.20,15 744.20
10 6 月 2026 21:52:10.064,US500,卖出,7374.4,7369.0,0.5 手,21.16,15 725.00
10 6 月 2026 21:52:06.647,HK50,卖出,24457.6,24453.8,1 手,3.80,15 703.84
10 6 月 2026 21:52:06.390,HK50,卖出,24456.3,24454.3,1 手,2.00,15 700.04
10 6 月 2026 21:51:06.799,US500,买入,7381.1,7370.7,0.5 手,-40.75,15 698.04
10 6 月 2026 21:51:06.756,US500,买入,7381.1,7370.5,0.5 手,-41.54,15 738.79
10 6 月 2026 21:50:38.264,HK50,买入,24493.8,24455.1,1 手,-38.70,15 780.33
10 6 月 2026 21:50:33.211,HK50,买入,24493.3,24456.8,1 手,-36.50,15 819.03
10 6 月 2026 21:45:30.639,US500,买入,7369.4,7370.7,6 手,63.48,15 855.53
10 6 月 2026 21:45:29.207,US500,买入,7364.9,7372.2,3 手,171.63,15 792.05
10 6 月 2026 21:45:26.985,HK50,买入,24450.3,24466.3,7 手,112.00,15 620.42
10 6 月 2026 21:45:23.032,HK50,买入,24451.6,24467.3,7 手,109.90,15 508.42
10 6 月 2026 21:45:18.056,HK50,买入,24450.8,24472.3,7 手,150.50,15 398.52
10 6 月 2026 21:45:15.289,US500,买入,7365.1,7375.2,3 手,237.47,15 248.02
10 6 月 2026 21:45:15.252,US500,买入,7364.9,7375.2,3 手,242.17,15 010.55
09 6 月 2026 22:22:28.318,US500,卖出,7454.1,7422.5,0.5 手,123.81,14 768.38
09 6 月 2026 22:19:24.779,US500,卖出,7451.4,7419.3,0.5 手,125.77,14 644.57
09 6 月 2026 22:18:35.737,US500,卖出,7453.1,7416.0,0.5 手,145.36,14 518.80
09 6 月 2026 22:18:33.984,HK50,卖出,24581.9,24519.9,5 手,310.00,14 373.44
09 6 月 2026 22:18:33.512,HK50,卖出,24582.4,24521.2,5 手,306.00,14 063.44
09 6 月 2026 22:10:17.592,US500,买入,7461.3,7453.1,0.5 手,-32.13,13 757.44
09 6 月 2026 22:10:14.320,US500,买入,7465.3,7451.4,0.5 手,-54.46,13 789.57
09 6 月 2026 22:10:11.509,US500,买入,7454.5,7454.1,0.5 手,-1.57,13 844.03
09 6 月 2026 22:10:10.734,US500,卖出,7454.1,7454.5,0.5 手,-1.57,13 845.60
09 6 月 2026 22:10:09.365,US500,买入,7466.3,7454.1,0.5 手,-47.80,13 847.17
09 6 月 2026 22:08:55.251,HK50,卖出,24649.7,24623.9,5 手,129.00,13 894.97
09 6 月 2026 22:01:38.873,HK50,卖出,24650.9,24628.9,5 手,110.00,13 765.97
09 6 月 2026 22:01:17.995,US500,卖出,7465.6,7463.5,1 手,16.46,13 655.97
09 6 月 2026 22:01:17.962,US500,卖出,7465.4,7463.3,1 手,16.46,13 639.51
09 6 月 2026 22:01:17.380,US500,卖出,7466.9,7463.8,1 手,24.29,13 623.05
09 6 月 2026 22:00:22.322,HK50,卖出,24649.9,24624.9,5 手,125.00,13 598.76
09 6 月 2026 21:54:45.923,US500,买入,7466.8,7471.4,1 手,36.05,13 473.76
09 6 月 2026 21:50:15.053,US500,买入,7457.0,7481.6,2 手,385.57,13 437.71
09 6 月 2026 21:50:14.295,US500,买入,7457.5,7482.1,2 手,385.57,13 052.14
09 6 月 2026 21:47:50.168,HK50,卖出,24642.4,24686.9,5 手,-222.50,12 666.57
09 6 月 2026 21:47:49.553,HK50,卖出,24638.9,24685.9,2 手,-94.00,12 889.07
09 6 月 2026 21:47:49.551,HK50,卖出,24638.9,24685.9,2 手,-94.00,12 983.07
09 6 月 2026 21:47:49.540,HK50,卖出,24648.4,24685.9,10 手,-375.00,13 077.07
09 6 月 2026 21:47:43.755,HK50,卖出,24650.9,24684.9,10 手,-340.00,13 452.07
09 6 月 2026 01:03:32.180,HK50,卖出,24661.2,24614.7,10 手,465.00,13 792.07
09 6 月 2026 01:03:14.733,HK50,卖出,24662.7,24614.7,10 手,480.00,13 327.07
09 6 月 2026 01:03:14.722,HK50,卖出,24662.7,24614.7,10 手,480.00,12 847.07
09 6 月 2026 01:03:12.914,HK50,卖出,24662.7,24614.7,10 手,480.00,12 367.07
08 6 月 2026 22:46:47.065,US500,卖出,7434.3,7457.7,2 手,-366.73,11 887.07
08 6 月 2026 22:46:47.052,US500,卖出,7434.3,7457.7,2 手,-366.73,12 253.80
08 6 月 2026 22:46:46.276,US500,卖出,7434.3,7457.2,2 手,-358.89,12 620.53
08 6 月 2026 22:46:46.272,US500,卖出,7448.1,7457.2,0.5 手,-35.65,12 979.42
08 6 月 2026 22:46:46.044,US500,卖出,7434.3,7457.2,2 手,-358.89,13 048.76
08 6 月 2026 22:46:46.044,US500,卖出,7448.6,7457.2,0.5 手,-33.69,13 015.07
08 6 月 2026 22:46:46.026,US500,卖出,7435.3,7457.2,2 手,-343.22,13 407.65
08 6 月 2026 22:46:46.021,US500,卖出,7434.3,7457.2,2 手,-358.89,13 750.87
08 6 月 2026 21:56:10.360,HK50,买入,24738.5,24710.4,10 手,-281.00,14 109.76
08 6 月 2026 21:56:10.334,HK50,买入,24740.7,24710.4,10 手,-303.00,14 390.76
08 6 月 2026 21:56:10.332,HK50,买入,24741.7,24710.4,10 手,-313.00,14 693.76
08 6 月 2026 21:56:10.323,US500,买入,7449.8,7444.0,0.5 手,-22.73,15 006.76
08 6 月 2026 21:56:10.310,US500,买入,7449.5,7444.0,2 手,-86.20,15 029.49
08 6 月 2026 21:56:10.276,HK50,买入,24734.7,24710.7,10 手,-240.00,15 115.69
08 6 月 2026 21:56:10.274,US500,买入,7453.5,7443.8,2 手,-152.02,15 355.69
08 6 月 2026 21:56:10.266,US500,买入,7449.5,7443.8,2 手,-89.33,15 507.71
08 6 月 2026 21:53:39.677,HK50,卖出,24687.2,24742.7,10 手,-555.00,15 597.04
08 6 月 2026 21:53:37.858,HK50,卖出,24689.0,24740.7,10 手,-517.00,16 152.04
08 6 月 2026 21:53:16.531,HK50,卖出,24696.9,24739.5,10 手,-426.00,16 669.04
08 6 月 2026 21:53:16.500,HK50,卖出,24688.9,24739.5,10 手,-506.00,17 095.04
08 6 月 2026 21:38:34.380,US500,卖出,7436.8,7444.1,2 手,-114.40,17 601.04
08 6 月 2026 21:38:31.865,US500,卖出,7435.6,7443.2,2 手,-119.10,17 715.44
08 6 月 2026 09:39:49.672,HK50,卖出,24449.7,24504.2,1 手,-54.50,17 834.54
08 6 月 2026 09:39:49.627,HK50,卖出,24452.2,24504.2,1 手,-52.00,17 889.04
08 6 月 2026 09:31:58.840,JPN225,卖出,63997.5,63729.5,0.2 手,261.91,17 941.04
08 6 月 2026 09:31:50.887,HK50,卖出,24511.5,24491.2,10 手,203.00,17 679.13
08 6 月 2026 09:31:47.092,HK50,卖出,24501.2,24485.2,10 手,160.00,17 476.13
08 6 月 2026 09:31:43.220,JPN225,卖出,64012.5,63657.0,0.2 手,347.41,17 316.13
08 6 月 2026 09:31:41.326,JPN225,卖出,64012.5,63637.0,0.2 手,366.95,16 968.72
08 6 月 2026 09:31:38.878,JPN225,卖出,64015.0,63612.0,0.2 手,393.81,16 601.77
08 6 月 2026 09:31:26.702,HK50,卖出,24534.2,24467.7,10 手,665.00,16 207.96
08 6 月 2026 09:31:21.811,HK50,卖出,24535.2,24489.7,10 手,455.00,15 542.96
08 6 月 2026 09:09:13.030,JPN225,卖出,64205.0,64162.0,0.2 手,42.03,15 087.96
08 6 月 2026 09:09:13.003,JPN225,卖出,64145.0,64162.0,0.2 手,-16.62,15 045.93
08 6 月 2026 09:09:12.986,JPN225,卖出,64200.0,64162.0,0.2 手,37.14,15 062.55
08 6 月 2026 09:09:12.964,JPN225,卖出,64200.0,64162.0,0.2 手,37.14,15 025.41
08 6 月 2026 09:09:12.950,JPN225,卖出,64150.0,64162.0,0.2 手,-11.73,14 988.27
02 6 月 2026 13:00:01.213,HK50,买入,25643.4,25778.6,5 手,676.00,4 136.42
02 6 月 2026 13:00:01.165,HK50,买入,25642.4,25777.6,5 手,676.00,3 460.42
29 5 月 2026 22:25:01.588,HK50,买入,25199.7,25160.7,5 手,-195.00,2 784.42
29 5 月 2026 22:25:01.117,HK50,买入,25199.7,25162.5,5 手,-186.00,2 979.42
29 5 月 2026 22:19:14.130,US500,买入,7599.8,7587.6,1 手,-95.60,3 165.42
29 5 月 2026 22:19:14.129,US500,买入,7599.8,7587.6,1 手,-95.60,3 261.02
,,,,,,9 544.42,

概览
入金,出金,总净值,净值,浮动盈亏,已实现盈亏,保证金,可用保证金,保证金水平
0.00,0.00,0.00,23 765.09,0.00,9 544.42,0.00,23 765.09,—

余额
23 765.09
